landmark_index,x,y,z
0,0.6232280135154724,0.5813089609146118,2.8019618980579253e-07
1,0.6731364130973816,0.5347721576690674,-0.014714492484927177
2,0.7008906006813049,0.469882607460022,-0.017585664987564087
3,0.7156752347946167,0.41405659914016724,-0.021114947274327278
4,0.7357156872749329,0.3827718198299408,-0.025190971791744232
5,0.6453922986984253,0.4019775390625,-0.002704267855733633
6,0.6519306898117065,0.3350469470024109,-0.01306143682450056
7,0.655552864074707,0.2923995852470398,-0.023845519870519638
8,0.6562008261680603,0.25518661737442017,-0.03265271335840225
9,0.6104342937469482,0.39946019649505615,-0.005821087397634983
10,0.6007923483848572,0.3203936815261841,-0.015707766637206078
11,0.5957774519920349,0.2721633315086365,-0.026896527037024498
12,0.589912474155426,0.23234139382839203,-0.03549565002322197
13,0.580029308795929,0.4123459458351135,-0.011973608285188675
14,0.5611129999160767,0.34129735827445984,-0.024878673255443573
15,0.5495975017547607,0.29630011320114136,-0.0366981141269207
16,0.5396248698234558,0.2561836838722229,-0.04475795850157738
17,0.5529588460922241,0.4396957755088806,-0.019795197993516922
18,0.5284709334373474,0.3866384029388428,-0.03303929418325424
19,0.5131718516349792,0.3538694679737091,-0.040044672787189484
20,0.49973756074905396,0.3210638165473938,-0.044694770127534866
