landmark_index,x,y,z
0,0.39002010226249695,0.51993328332901,2.2519311926316732e-07
1,0.43336766958236694,0.473295122385025,-0.014501052908599377
2,0.46006089448928833,0.40926241874694824,-0.018962014466524124
3,0.4766000509262085,0.35367998480796814,-0.023542068898677826
4,0.4978093206882477,0.32252591848373413,-0.028810052201151848
5,0.41183170676231384,0.35018348693847656,-0.007546612527221441
6,0.41487637162208557,0.2861352562904358,-0.01878177560865879
7,0.41509750485420227,0.245291069149971,-0.029279164969921112
8,0.41362810134887695,0.2110997438430786,-0.03767239302396774
9,0.37978702783584595,0.35177701711654663,-0.011046302504837513
10,0.3663374185562134,0.27675214409828186,-0.022541720420122147
11,0.35883185267448425,0.23170995712280273,-0.03380713611841202
12,0.35198068618774414,0.19512209296226501,-0.041907861828804016
13,0.3524950444698334,0.36718666553497314,-0.016979297623038292
14,0.33410537242889404,0.29855450987815857,-0.030547641217708588
15,0.3250632882118225,0.2551470100879669,-0.040773529559373856
16,0.31813955307006836,0.21696695685386658,-0.047323428094387054
17,0.3286498785018921,0.39547887444496155,-0.024445731192827225
18,0.3058919310569763,0.3438832759857178,-0.03827029466629028
19,0.29220885038375854,0.30992990732192993,-0.04473947361111641
20,0.28044721484184265,0.27539005875587463,-0.04853581637144089
