landmark_index,x,y,z
0,0.2992754280567169,0.6977003812789917,-5.765662081103073e-07
1,0.41221457719802856,0.6632263660430908,-0.03985884040594101
2,0.5171975493431091,0.5739901661872864,-0.055909283459186554
3,0.5732371807098389,0.4619789123535156,-0.07310260087251663
4,0.5335378050804138,0.3804060220718384,-0.08258422464132309
5,0.4744510054588318,0.42549246549606323,0.00184165732935071
6,0.5254988670349121,0.3448198735713959,-0.04716525599360466
7,0.5000892281532288,0.4522036910057068,-0.07023614645004272
8,0.46909844875335693,0.49426621198654175,-0.0755741149187088
9,0.41616469621658325,0.39217084646224976,0.002572741126641631
10,0.4648955166339874,0.3219287693500519,-0.048126235604286194
11,0.43749096989631653,0.4613414406776428,-0.05842502415180206
12,0.40625160932540894,0.488538533449173,-0.050849515944719315
13,0.3522926867008209,0.37145090103149414,-0.006631094496697187
14,0.3998262286186218,0.2915230989456177,-0.060738470405340195
15,0.38618171215057373,0.42812713980674744,-0.043879684060811996
16,0.3564596176147461,0.47525858879089355,-0.015521169640123844
17,0.27844592928886414,0.35488227009773254,-0.019045140594244003
18,0.32165682315826416,0.2844047546386719,-0.04912874475121498
19,0.3331899642944336,0.3778859078884125,-0.028656834736466408
20,0.3214418292045593,0.4309164583683014,-0.0022242774721235037
