landmark_index,x,y,z
0,0.48733624815940857,0.28952521085739136,-5.439773644866364e-07
1,0.4379991292953491,0.25618746876716614,-0.030216163024306297
2,0.4063132405281067,0.16473054885864258,-0.0410502552986145
3,0.40601614117622375,0.07611815631389618,-0.050699103623628616
4,0.4358540177345276,0.03532034903764725,-0.05350162088871002
5,0.4396512508392334,0.08492036163806915,-0.0028405883349478245
6,0.45526522397994995,0.026848062872886658,-0.04068092256784439
7,0.4564836323261261,0.09219717234373093,-0.058989495038986206
8,0.4509716033935547,0.1292635053396225,-0.0642772763967514
9,0.4771512448787689,0.09371467679738998,-0.0002146450715372339
10,0.49546539783477783,0.0431709960103035,-0.03776279091835022
11,0.4886884391307831,0.12538446485996246,-0.04394424706697464
12,0.4761394262313843,0.1498994380235672,-0.03729057312011719
13,0.5117863416671753,0.10855502635240555,-0.0054626003839075565
14,0.530358076095581,0.07002303004264832,-0.044057849794626236
15,0.5172067880630493,0.14709948003292084,-0.03411516174674034
16,0.503364086151123,0.16952863335609436,-0.015467788092792034
17,0.5457093119621277,0.13129571080207825,-0.013403446413576603
18,0.5617507696151733,0.09536643326282501,-0.033465247601270676
19,0.5486308336257935,0.1459117829799652,-0.023221759125590324
20,0.5340708494186401,0.1645367592573166,-0.008710183203220367
