landmark_index,x,y,z
0,0.12886299192905426,0.26960378885269165,-4.5727799147243786e-07
1,0.16579481959342957,0.1691434234380722,0.001797622418962419
2,0.2341928482055664,0.11240644752979279,-0.007988745346665382
3,0.30737850069999695,0.09155665338039398,-0.017002945765852928
4,0.3610292971134186,0.1002873033285141,-0.021396886557340622
5,0.2617117762565613,0.0961102694272995,-0.03208591789007187
6,0.3485856056213379,0.1189938336610794,-0.04531333968043327
7,0.32367584109306335,0.1399543285369873,-0.04173492640256882
8,0.28933268785476685,0.1427822709083557,-0.03540666773915291
9,0.27181872725486755,0.16611671447753906,-0.04039204865694046
10,0.3556327819824219,0.18368805944919586,-0.043614014983177185
11,0.32805413007736206,0.19928598403930664,-0.031836919486522675
12,0.29572874307632446,0.20121356844902039,-0.02427329681813717
13,0.2786221206188202,0.24291741847991943,-0.046781960874795914
14,0.3495590090751648,0.25079941749572754,-0.047754380851984024
15,0.3228307068347931,0.26173996925354004,-0.028541963547468185
16,0.2924892008304596,0.26514729857444763,-0.017389895394444466
17,0.2795155346393585,0.3172265887260437,-0.05238312482833862
18,0.3365791440010071,0.3048030734062195,-0.049260012805461884
19,0.3085052967071533,0.31240469217300415,-0.030527984723448753
20,0.2825448215007782,0.31979039311408997,-0.01718098670244217
